country,province,city,updatedAt,stats,coordinates
US,Georgia,Banks,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '34.35607081', 'longitude': '-83.49644388'}"
US,Nebraska,Banner,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '41.54634427', 'longitude': '-103.7114332'}"
US,Idaho,Bannock,2020-03-23 23:19:34,"{'confirmed': '2', 'deaths': '0', 'recovered': '0'}","{'latitude': '42.67002716', 'longitude': '-112.2233311'}"
US,Michigan,Baraga,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '46.6720582', 'longitude': '-88.36363591'}"
US,Kansas,Barber,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '37.2288586', 'longitude': '-98.68460053'}"
US,Alabama,Barbour,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '31.868263', 'longitude': '-85.3871286'}"
US,West Virginia,Barbour,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '39.1307219', 'longitude': '-80.00350858'}"
US,North Dakota,Barnes,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '46.93579637', 'longitude': '-98.06605978'}"
US,Massachusetts,Barnstable,2020-03-23 23:19:34,"{'confirmed': '30', 'deaths': '0', 'recovered': '0'}","{'latitude': '41.72980578', 'longitude': '-70.28854339'}"
US,South Carolina,Barnwell,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '33.26679302', 'longitude': '-81.43584352'}"
US,Kentucky,Barren,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '36.96469836', 'longitude': '-85.93338945'}"
US,Wisconsin,Barron,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '45.42372701', 'longitude': '-91.84833627'}"
US,Georgia,Barrow,2020-03-23 23:19:34,"{'confirmed': '1', 'deaths': '0', 'recovered': '0'}","{'latitude': '33.99148694', 'longitude': '-83.71436292'}"
US,Michigan,Barry,2020-03-23 23:19:34,"{'confirmed': '1', 'deaths': '0', 'recovered': '0'}","{'latitude': '42.59513984', 'longitude': '-85.30834519'}"
US,Missouri,Barry,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '36.70978521', 'longitude': '-93.82919888'}"
US,Indiana,Bartholomew,2020-03-23 23:19:34,"{'confirmed': '5', 'deaths': '0', 'recovered': '0'}","{'latitude': '39.20744865', 'longitude': '-85.89558181'}"
US,Kansas,Barton,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '38.47889676', 'longitude': '-98.75636726'}"
US,Missouri,Barton,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '37.50207671', 'longitude': '-94.34757022'}"
